date,channel_group,sessions,conversions,revenue_bdt
2024-11-23,direct,14,0.38,4224
2024-11-23,referral,9,0.13,1408
2024-11-24,organic_search,25,0.5,5500
2024-11-24,direct,11,0.3,3300
2024-11-24,referral,7,0.1,1100
2024-11-25,organic_search,30,0.6,6600
2024-11-25,direct,13,0.36,3960
2024-11-25,referral,9,0.12,1320
2024-11-26,organic_search,32,0.64,7040
2024-11-26,direct,14,0.38,4224
2024-11-26,referral,9,0.13,1408
2024-11-27,organic_search,36,0.72,7920
2024-11-27,direct,16,0.43,4752
2024-11-27,referral,10,0.14,1584
2024-11-28,organic_search,28,0.56,6160
2024-11-28,direct,12,0.34,3696
2024-11-28,referral,8,0.11,1232
2024-11-29,organic_search,36,0.72,7920
2024-11-29,direct,16,0.43,4752
2024-11-29,referral,10,0.14,1584
2024-11-30,organic_search,31,0.62,6820
2024-11-30,direct,13,0.37,4092
2024-11-30,referral,9,0.12,1364
2024-12-01,organic_search,28,0.56,6160
2024-12-01,direct,12,0.34,3696
2024-12-01,referral,8,0.11,1232
2024-12-02,organic_search,30,0.6,6600
2024-12-02,direct,13,0.36,3960
2024-12-02,referral,9,0.12,1320
2024-12-03,organic_search,28,0.56,6160
2024-12-03,direct,12,0.34,3696
2024-12-03,referral,8,0.11,1232
2024-12-04,organic_search,33,0.66,7260
2024-12-04,direct,14,0.4,4356
2024-12-04,referral,9,0.13,1452
2024-12-05,organic_search,27,0.54,5940
2024-12-05,direct,12,0.32,3564
2024-12-05,referral,8,0.11,1188
2024-12-06,organic_search,28,0.56,6160
2024-12-06,direct,12,0.34,3696
2024-12-06,referral,8,0.11,1232
2024-12-07,organic_search,40,0.8,8800
2024-12-07,direct,18,0.48,5280
2024-12-07,referral,12,0.16,1760
2024-12-08,organic_search,32,0.64,7040
2024-12-08,direct,14,0.38,4224
2024-12-08,referral,9,0.13,1408
2024-12-09,organic_search,34,0.68,7480
2024-12-09,direct,15,0.41,4488
2024-12-09,referral,10,0.14,1496
2024-12-10,organic_search,44,0.88,9680
2024-12-10,direct,19,0.53,5808
2024-12-10,referral,13,0.18,1936
2024-12-11,organic_search,34,0.68,7480
2024-12-11,direct,15,0.41,4488
2024-12-11,referral,10,0.14,1496
2024-12-12,organic_search,37,0.74,8140
2024-12-12,direct,16,0.44,4884
2024-12-12,referral,11,0.15,1628
2024-12-13,organic_search,41,0.82,9020
2024-12-13,direct,18,0.49,5412
2024-12-13,referral,12,0.16,1804
2024-12-14,organic_search,35,0.7,7700
2024-12-14,direct,15,0.42,4620
2024-12-14,referral,10,0.14,1540
2024-12-15,organic_search,46,0.92,10120
2024-12-15,direct,20,0.55,6072
2024-12-15,referral,13,0.18,2024
2024-12-16,organic_search,30,0.6,6600
2024-12-16,direct,13,0.36,3960
2024-12-16,referral,9,0.12,1320
2024-12-17,organic_search,38,0.76,8360
2024-12-17,direct,17,0.46,5016
2024-12-17,referral,11,0.15,1672
2024-12-18,organic_search,30,0.6,6600
2024-12-18,direct,13,0.36,3960
2024-12-18,referral,9,0.12,1320
2024-12-19,organic_search,42,0.84,9240
2024-12-19,direct,18,0.5,5544
2024-12-19,referral,12,0.17,1848
2024-12-20,organic_search,38,0.76,8360
2024-12-20,direct,17,0.46,5016
2024-12-20,referral,11,0.15,1672
2024-12-21,organic_search,32,0.64,7040
2024-12-21,direct,14,0.38,4224
2024-12-21,referral,9,0.13,1408
2024-12-22,organic_search,39,0.78,8580
2024-12-22,direct,17,0.47,5148
2024-12-22,referral,11,0.16,1716
2024-12-23,organic_search,36,0.72,7920
2024-12-23,direct,16,0.43,4752
2024-12-23,referral,10,0.14,1584
2024-12-24,organic_search,28,0.56,6160
2024-12-24,direct,12,0.34,3696
2024-12-24,referral,8,0.11,1232
2024-12-25,organic_search,40,0.8,8800
2024-12-25,direct,18,0.48,5280
2024-12-25,referral,12,0.16,1760
2024-12-26,organic_search,41,0.82,9020
2024-12-26,direct,18,0.49,5412
2024-12-26,referral,12,0.16,1804
2024-12-27,organic_search,39,0.78,8580
2024-12-27,direct,17,0.47,5148
2024-12-27,referral,11,0.16,1716
2024-12-28,organic_search,42,0.84,9240
2024-12-28,direct,18,0.5,5544
2024-12-28,referral,12,0.17,1848
2024-12-29,organic_search,31,0.62,6820
2024-12-29,direct,13,0.37,4092
2024-12-29,referral,9,0.12,1364
2024-12-30,organic_search,44,0.88,9680
2024-12-30,direct,19,0.53,5808
2024-12-30,referral,13,0.18,1936
2024-12-31,organic_search,45,0.9,9900
2024-12-31,direct,20,0.54,5940
2024-12-31,referral,13,0.18,1980
2025-01-01,organic_search,27,0.54,5940
2025-01-01,direct,12,0.32,3564
2025-01-01,referral,8,0.11,1188
2025-01-02,organic_search,34,0.68,7480
2025-01-02,direct,15,0.41,4488
2025-01-02,referral,10,0.14,1496
2025-01-03,organic_search,31,0.62,6820
2025-01-03,direct,13,0.37,4092
2025-01-03,referral,9,0.12,1364
2025-01-04,organic_search,40,0.8,8800
2025-01-04,direct,18,0.48,5280
2025-01-04,referral,12,0.16,1760
2025-01-05,organic_search,35,0.7,7700
2025-01-05,direct,15,0.42,4620
2025-01-05,referral,10,0.14,1540
2025-01-06,organic_search,35,0.7,7700
2025-01-06,direct,15,0.42,4620
2025-01-06,referral,10,0.14,1540
2025-01-07,organic_search,39,0.78,8580
2025-01-07,direct,17,0.47,5148
2025-01-07,referral,11,0.16,1716
2025-01-08,organic_search,42,0.84,9240
2025-01-08,direct,18,0.5,5544
2025-01-08,referral,12,0.17,1848
2025-01-09,organic_search,36,0.72,7920
2025-01-09,direct,16,0.43,4752
2025-01-09,referral,10,0.14,1584
2025-01-10,organic_search,31,0.62,6820
2025-01-10,direct,13,0.37,4092
2025-01-10,referral,9,0.12,1364
2025-01-11,organic_search,32,0.64,7040
2025-01-11,direct,14,0.38,4224
2025-01-11,referral,9,0.13,1408
2025-01-12,organic_search,41,0.82,9020
2025-01-12,direct,18,0.49,5412
2025-01-12,referral,12,0.16,1804
2025-01-13,organic_search,39,0.78,8580
2025-01-13,direct,17,0.47,5148
2025-01-13,referral,11,0.16,1716
2025-01-14,organic_search,26,0.52,5720
2025-01-14,direct,11,0.31,3432
2025-01-14,referral,7,0.1,1144
2025-01-15,organic_search,33,0.66,7260
2025-01-15,direct,14,0.4,4356
2025-01-15,referral,9,0.13,1452
2025-01-16,organic_search,34,0.68,7480
2025-01-16,direct,15,0.41,4488
2025-01-16,referral,10,0.14,1496
2025-01-17,organic_search,39,0.78,8580
2025-01-17,direct,17,0.47,5148
2025-01-17,referral,11,0.16,1716
2025-01-18,organic_search,31,0.62,6820
2025-01-18,direct,13,0.37,4092
2025-01-18,referral,9,0.12,1364
2025-01-19,organic_search,34,0.68,7480
2025-01-19,direct,15,0.41,4488
2025-01-19,referral,10,0.14,1496
2025-01-20,organic_search,29,0.58,6380
2025-01-20,direct,13,0.35,3828
2025-01-20,referral,8,0.12,1276
2025-01-21,organic_search,37,0.74,8140
2025-01-21,direct,16,0.44,4884
2025-01-21,referral,11,0.15,1628
2025-01-22,organic_search,36,0.72,7920
2025-01-22,direct,16,0.43,4752
2025-01-22,referral,10,0.14,1584
2025-01-23,organic_search,27,0.54,5940
2025-01-23,direct,12,0.32,3564
2025-01-23,referral,8,0.11,1188
2025-01-24,organic_search,32,0.64,7040
2025-01-24,direct,14,0.38,4224
2025-01-24,referral,9,0.13,1408
2025-01-25,organic_search,40,0.8,8800
2025-01-25,direct,18,0.48,5280
2025-01-25,referral,12,0.16,1760
2025-01-26,organic_search,36,0.72,7920
2025-01-26,direct,16,0.43,4752
2025-01-26,referral,10,0.14,1584
2025-01-27,organic_search,40,0.8,8800
2025-01-27,direct,18,0.48,5280
2025-01-27,referral,12,0.16,1760
2025-01-28,organic_search,41,0.82,9020
2025-01-28,direct,18,0.49,5412
2025-01-28,referral,12,0.16,1804
2025-01-29,organic_search,39,0.78,8580
2025-01-29,direct,17,0.47,5148
2025-01-29,referral,11,0.16,1716
2025-01-30,organic_search,31,0.62,6820
2025-01-30,direct,13,0.37,4092
2025-01-30,referral,9,0.12,1364
2025-01-31,organic_search,35,0.7,7700
2025-01-31,direct,15,0.42,4620
2025-01-31,referral,10,0.14,1540
2025-02-01,organic_search,31,0.62,6820
2025-02-01,direct,13,0.37,4092
2025-02-01,referral,9,0.12,1364
2025-02-02,organic_search,24,0.48,5280
2025-02-02,direct,10,0.29,3168
2025-02-02,referral,7,0.1,1056
2025-02-03,organic_search,37,0.74,8140
2025-02-03,direct,16,0.44,4884
2025-02-03,referral,11,0.15,1628
2025-02-04,organic_search,35,0.7,7700
2025-02-04,direct,15,0.42,4620
2025-02-04,referral,10,0.14,1540
2025-02-05,organic_search,33,0.66,7260
2025-02-05,direct,14,0.4,4356
2025-02-05,referral,9,0.13,1452
2025-02-06,organic_search,28,0.56,6160
2025-02-06,direct,12,0.34,3696
2025-02-06,referral,8,0.11,1232
2025-02-07,organic_search,33,0.66,7260
2025-02-07,direct,14,0.4,4356
2025-02-07,referral,9,0.13,1452
2025-02-08,organic_search,35,0.7,7700
2025-02-08,direct,15,0.42,4620
2025-02-08,referral,10,0.14,1540
2025-02-09,organic_search,30,0.6,6600
2025-02-09,direct,13,0.36,3960
2025-02-09,referral,9,0.12,1320
2025-02-10,organic_search,32,0.64,7040
2025-02-10,direct,14,0.38,4224
2025-02-10,referral,9,0.13,1408
2025-02-11,organic_search,32,0.64,7040
2025-02-11,direct,14,0.38,4224
2025-02-11,referral,9,0.13,1408
2025-02-12,organic_search,29,0.58,6380
2025-02-12,direct,13,0.35,3828
2025-02-12,referral,8,0.12,1276
2025-02-13,organic_search,27,0.54,5940
2025-02-13,direct,12,0.32,3564
2025-02-13,referral,8,0.11,1188
2025-02-14,organic_search,24,0.48,5280
2025-02-14,direct,10,0.29,3168
2025-02-14,referral,7,0.1,1056
2025-02-15,organic_search,30,0.6,6600
2025-02-15,direct,13,0.36,3960
2025-02-15,referral,9,0.12,1320
2025-02-16,organic_search,39,0.78,8580
2025-02-16,direct,17,0.47,5148
2025-02-16,referral,11,0.16,1716
2025-02-17,organic_search,40,0.8,8800
2025-02-17,direct,18,0.48,5280
2025-02-17,referral,12,0.16,1760
2025-02-18,organic_search,26,0.52,5720
2025-02-18,direct,11,0.31,3432
2025-02-18,referral,7,0.1,1144
2025-02-19,organic_search,28,0.56,6160
2025-02-19,direct,12,0.34,3696
2025-02-19,referral,8,0.11,1232
2025-02-20,organic_search,37,0.74,8140
2025-02-20,direct,16,0.44,4884
2025-02-20,referral,11,0.15,1628
2025-02-21,organic_search,26,0.52,5720
2025-02-21,direct,11,0.31,3432
2025-02-21,referral,7,0.1,1144
2025-02-22,organic_search,26,0.52,5720
2025-02-22,direct,11,0.31,3432
2025-02-22,referral,7,0.1,1144
2025-02-23,organic_search,29,0.58,6380
2025-02-23,direct,13,0.35,3828
2025-02-23,referral,8,0.12,1276
2025-02-24,organic_search,26,0.52,5720
2025-02-24,direct,11,0.31,3432
2025-02-24,referral,7,0.1,1144
2025-02-25,organic_search,33,0.66,7260
2025-02-25,direct,14,0.4,4356
2025-02-25,referral,9,0.13,1452
2025-02-26,organic_search,41,0.82,9020
2025-02-26,direct,18,0.49,5412
2025-02-26,referral,12,0.16,1804
2025-02-27,organic_search,33,0.66,7260
2025-02-27,direct,14,0.4,4356
2025-02-27,referral,9,0.13,1452
2025-02-28,organic_search,40,0.8,8800
2025-02-28,direct,18,0.48,5280
2025-02-28,referral,12,0.16,1760
2025-03-01,organic_search,21,0.42,4620
2025-03-01,direct,9,0.25,2772
2025-03-01,referral,6,0.08,924
2025-03-02,organic_search,26,0.52,5720
2025-03-02,direct,11,0.31,3432
2025-03-02,referral,7,0.1,1144
2025-03-03,organic_search,23,0.46,5060
2025-03-03,direct,10,0.28,3036
2025-03-03,referral,6,0.09,1012
2025-03-04,organic_search,24,0.48,5280
2025-03-04,direct,10,0.29,3168
2025-03-04,referral,7,0.1,1056
2025-03-05,organic_search,31,0.62,6820
2025-03-05,direct,13,0.37,4092
2025-03-05,referral,9,0.12,1364
2025-03-06,organic_search,33,0.66,7260
2025-03-06,direct,14,0.4,4356
2025-03-06,referral,9,0.13,1452
2025-03-07,organic_search,23,0.46,5060
2025-03-07,direct,10,0.28,3036
2025-03-07,referral,6,0.09,1012
2025-03-08,organic_search,22,0.44,4840
2025-03-08,direct,9,0.26,2904
2025-03-08,referral,6,0.09,968
2025-03-09,organic_search,31,0.62,6820
2025-03-09,direct,13,0.37,4092
2025-03-09,referral,9,0.12,1364
2025-03-10,organic_search,30,0.6,6600
2025-03-10,direct,13,0.36,3960
2025-03-10,referral,9,0.12,1320
2025-03-11,organic_search,26,0.52,5720
2025-03-11,direct,11,0.31,3432
2025-03-11,referral,7,0.1,1144
2025-03-12,organic_search,35,0.7,7700
2025-03-12,direct,15,0.42,4620
2025-03-12,referral,10,0.14,1540
2025-03-13,organic_search,33,0.66,7260
2025-03-13,direct,14,0.4,4356
2025-03-13,referral,9,0.13,1452
2025-03-14,organic_search,29,0.58,6380
2025-03-14,direct,13,0.35,3828
2025-03-14,referral,8,0.12,1276
2025-03-15,organic_search,27,0.54,5940
2025-03-15,direct,12,0.32,3564
2025-03-15,referral,8,0.11,1188
2025-03-16,organic_search,32,0.64,7040
2025-03-16,direct,14,0.38,4224
2025-03-16,referral,9,0.13,1408
2025-03-17,organic_search,24,0.48,5280
2025-03-17,direct,10,0.29,3168
2025-03-17,referral,7,0.1,1056
2025-03-18,organic_search,25,0.5,5500
2025-03-18,direct,11,0.3,3300
2025-03-18,referral,7,0.1,1100
2025-03-19,organic_search,31,0.62,6820
2025-03-19,direct,13,0.37,4092
2025-03-19,referral,9,0.12,1364
2025-03-20,organic_search,31,0.62,6820
2025-03-20,direct,13,0.37,4092
2025-03-20,referral,9,0.12,1364
2025-03-21,organic_search,33,0.66,7260
2025-03-21,direct,14,0.4,4356
2025-03-21,referral,9,0.13,1452
2025-03-22,organic_search,29,0.58,6380
2025-03-22,direct,13,0.35,3828
2025-03-22,referral,8,0.12,1276
2025-03-23,organic_search,34,0.68,7480
2025-03-23,direct,15,0.41,4488
2025-03-23,referral,10,0.14,1496
2025-03-24,organic_search,33,0.66,7260
2025-03-24,direct,14,0.4,4356
2025-03-24,referral,9,0.13,1452
2025-03-25,organic_search,34,0.68,7480
2025-03-25,direct,15,0.41,4488
2025-03-25,referral,10,0.14,1496
2025-03-26,organic_search,27,0.54,5940
2025-03-26,direct,12,0.32,3564
2025-03-26,referral,8,0.11,1188
2025-03-27,organic_search,24,0.48,5280
2025-03-27,direct,10,0.29,3168
2025-03-27,referral,7,0.1,1056
2025-03-28,organic_search,23,0.46,5060
2025-03-28,direct,10,0.28,3036
2025-03-28,referral,6,0.09,1012
2025-03-29,organic_search,33,0.66,7260
2025-03-29,direct,14,0.4,4356
2025-03-29,referral,9,0.13,1452
2025-03-30,organic_search,34,0.68,7480
2025-03-30,direct,15,0.41,4488
2025-03-30,referral,10,0.14,1496
2025-03-31,organic_search,28,0.56,6160
2025-03-31,direct,12,0.34,3696
2025-03-31,referral,8,0.11,1232
2025-04-01,organic_search,28,0.56,6160
2025-04-01,direct,12,0.34,3696
2025-04-01,referral,8,0.11,1232
2025-04-02,organic_search,26,0.52,5720
2025-04-02,direct,11,0.31,3432
2025-04-02,referral,7,0.1,1144
2025-04-03,organic_search,23,0.46,5060
2025-04-03,direct,10,0.28,3036
2025-04-03,referral,6,0.09,1012
2025-04-04,organic_search,26,0.52,5720
2025-04-04,direct,11,0.31,3432
2025-04-04,referral,7,0.1,1144
2025-04-05,organic_search,18,0.36,3960
2025-04-05,direct,8,0.22,2376
2025-04-05,referral,5,0.07,792
2025-04-06,organic_search,29,0.58,6380
2025-04-06,direct,13,0.35,3828
2025-04-06,referral,8,0.12,1276
2025-04-07,organic_search,19,0.38,4180
2025-04-07,direct,8,0.23,2508
2025-04-07,referral,5,0.08,836
2025-04-08,organic_search,28,0.56,6160
2025-04-08,direct,12,0.34,3696
2025-04-08,referral,8,0.11,1232
2025-04-09,organic_search,23,0.46,5060
2025-04-09,direct,10,0.28,3036
2025-04-09,referral,6,0.09,1012
2025-04-10,organic_search,24,0.48,5280
2025-04-10,direct,10,0.29,3168
2025-04-10,referral,7,0.1,1056
2025-04-11,organic_search,26,0.52,5720
2025-04-11,direct,11,0.31,3432
2025-04-11,referral,7,0.1,1144
2025-04-12,organic_search,29,0.58,6380
2025-04-12,direct,13,0.35,3828
2025-04-12,referral,8,0.12,1276
2025-04-13,organic_search,23,0.46,5060
2025-04-13,direct,10,0.28,3036
2025-04-13,referral,6,0.09,1012
2025-04-14,organic_search,25,0.5,5500
2025-04-14,direct,11,0.3,3300
2025-04-14,referral,7,0.1,1100
2025-04-15,organic_search,23,0.46,5060
2025-04-15,direct,10,0.28,3036
2025-04-15,referral,6,0.09,1012
2025-04-16,organic_search,19,0.38,4180
2025-04-16,direct,8,0.23,2508
2025-04-16,referral,5,0.08,836
2025-04-17,organic_search,21,0.42,4620
2025-04-17,direct,9,0.25,2772
2025-04-17,referral,6,0.08,924
2025-04-18,organic_search,22,0.44,4840
2025-04-18,direct,9,0.26,2904
2025-04-18,referral,6,0.09,968
2025-04-19,organic_search,22,0.44,4840
2025-04-19,direct,9,0.26,2904
2025-04-19,referral,6,0.09,968
2025-04-20,organic_search,18,0.36,3960
2025-04-20,direct,8,0.22,2376
2025-04-20,referral,5,0.07,792
2025-04-21,organic_search,25,0.5,5500
2025-04-21,direct,11,0.3,3300
2025-04-21,referral,7,0.1,1100
2025-04-22,organic_search,29,0.58,6380
2025-04-22,direct,13,0.35,3828
2025-04-22,referral,8,0.12,1276
2025-04-23,organic_search,28,0.56,6160
2025-04-23,direct,12,0.34,3696
2025-04-23,referral,8,0.11,1232
2025-04-24,organic_search,20,0.4,4400
2025-04-24,direct,9,0.24,2640
2025-04-24,referral,6,0.08,880
2025-04-25,organic_search,19,0.38,4180
2025-04-25,direct,8,0.23,2508
2025-04-25,referral,5,0.08,836
2025-04-26,organic_search,27,0.54,5940
2025-04-26,direct,12,0.32,3564
2025-04-26,referral,8,0.11,1188
2025-04-27,organic_search,28,0.56,6160
2025-04-27,direct,12,0.34,3696
2025-04-27,referral,8,0.11,1232
2025-04-28,organic_search,23,0.46,5060
2025-04-28,direct,10,0.28,3036
2025-04-28,referral,6,0.09,1012
2025-04-29,organic_search,23,0.46,5060
2025-04-29,direct,10,0.28,3036
2025-04-29,referral,6,0.09,1012
2025-04-30,organic_search,18,0.36,3960
2025-04-30,direct,8,0.22,2376
2025-04-30,referral,5,0.07,792
2025-05-01,organic_search,22,0.44,4840
2025-05-01,direct,9,0.26,2904
2025-05-01,referral,6,0.09,968
2025-05-02,organic_search,22,0.44,4840
2025-05-02,direct,9,0.26,2904
2025-05-02,referral,6,0.09,968
2025-05-03,organic_search,22,0.44,4840
2025-05-03,direct,9,0.26,2904
2025-05-03,referral,6,0.09,968
2025-05-04,organic_search,18,0.36,3960
2025-05-04,direct,8,0.22,2376
2025-05-04,referral,5,0.07,792
2025-05-05,organic_search,16,0.32,3520
2025-05-05,direct,7,0.19,2112
2025-05-05,referral,4,0.06,704
2025-05-06,organic_search,21,0.42,4620
2025-05-06,direct,9,0.25,2772
2025-05-06,referral,6,0.08,924
2025-05-07,organic_search,18,0.36,3960
2025-05-07,direct,8,0.22,2376
2025-05-07,referral,5,0.07,792
2025-05-08,organic_search,16,0.32,3520
2025-05-08,direct,7,0.19,2112
2025-05-08,referral,4,0.06,704
2025-05-09,organic_search,16,0.32,3520
2025-05-09,direct,7,0.19,2112
2025-05-09,referral,4,0.06,704
2025-05-10,organic_search,19,0.38,4180
2025-05-10,direct,8,0.23,2508
2025-05-10,referral,5,0.08,836
2025-05-11,organic_search,21,0.42,4620
2025-05-11,direct,9,0.25,2772
2025-05-11,referral,6,0.08,924
2025-05-12,organic_search,25,0.5,5500
2025-05-12,direct,11,0.3,3300
2025-05-12,referral,7,0.1,1100
2025-05-13,organic_search,15,0.3,3300
2025-05-13,direct,6,0.18,1980
2025-05-13,referral,4,0.06,660
2025-05-14,organic_search,21,0.42,4620
2025-05-14,direct,9,0.25,2772
2025-05-14,referral,6,0.08,924
2025-05-15,organic_search,21,0.42,4620
2025-05-15,direct,9,0.25,2772
2025-05-15,referral,6,0.08,924
2025-05-16,organic_search,22,0.44,4840
2025-05-16,direct,9,0.26,2904
2025-05-16,referral,6,0.09,968
2025-05-17,organic_search,25,0.5,5500
2025-05-17,direct,11,0.3,3300
2025-05-17,referral,7,0.1,1100
2025-05-18,organic_search,22,0.44,4840
2025-05-18,direct,9,0.26,2904
2025-05-18,referral,6,0.09,968
2025-05-19,organic_search,22,0.44,4840
2025-05-19,direct,9,0.26,2904
2025-05-19,referral,6,0.09,968
2025-05-20,organic_search,19,0.38,4180
2025-05-20,direct,8,0.23,2508
2025-05-20,referral,5,0.08,836
2025-05-21,organic_search,21,0.42,4620
2025-05-21,direct,9,0.25,2772
2025-05-21,referral,6,0.08,924
2025-05-22,organic_search,24,0.48,5280
2025-05-22,direct,10,0.29,3168
2025-05-22,referral,7,0.1,1056
2025-05-23,organic_search,25,0.5,5500
2025-05-23,direct,11,0.3,3300
2025-05-23,referral,7,0.1,1100
2025-05-24,organic_search,18,0.36,3960
2025-05-24,direct,8,0.22,2376
2025-05-24,referral,5,0.07,792
2025-05-25,organic_search,23,0.46,5060
2025-05-25,direct,10,0.28,3036
2025-05-25,referral,6,0.09,1012
