date,query_class,clicks,impressions,avg_position
2024-11-02,non_brand,8,418,11.7
2024-11-03,brand,6,138,1.4
2024-11-03,non_brand,5,253,13.2
2024-11-04,brand,11,234,1.1
2024-11-04,non_brand,8,429,8.5
2024-11-05,brand,10,216,1.4
2024-11-05,non_brand,7,396,11.6
2024-11-06,brand,11,222,1.4
2024-11-06,non_brand,8,407,12.7
2024-11-07,brand,9,192,1.4
2024-11-07,non_brand,7,352,9.9
2024-11-08,brand,11,222,1.4
2024-11-08,non_brand,8,407,10.9
2024-11-09,brand,12,240,1.3
2024-11-09,non_brand,8,440,11.7
2024-11-10,brand,8,162,1.3
2024-11-10,non_brand,5,297,11.7
2024-11-11,brand,7,150,1.4
2024-11-11,non_brand,5,275,12.8
2024-11-12,brand,8,168,1.4
2024-11-12,non_brand,6,308,14.4
2024-11-13,brand,11,234,1.3
2024-11-13,non_brand,8,429,11.4
2024-11-14,brand,10,216,1.4
2024-11-14,non_brand,7,396,8.5
2024-11-15,brand,7,144,1.1
2024-11-15,non_brand,5,264,9.6
2024-11-16,brand,11,234,1.5
2024-11-16,non_brand,8,429,11.7
2024-11-17,brand,11,222,1.5
2024-11-17,non_brand,8,407,10.4
2024-11-18,brand,7,156,1.1
2024-11-18,non_brand,5,286,9.8
2024-11-19,brand,8,174,1.2
2024-11-19,non_brand,6,319,15.2
2024-11-20,brand,8,162,1.2
2024-11-20,non_brand,5,297,10.3
2024-11-21,brand,10,210,1.1
2024-11-21,non_brand,7,385,9.6
2024-11-22,brand,7,144,1.2
2024-11-22,non_brand,5,264,15.4
2024-11-23,brand,8,168,1.5
2024-11-23,non_brand,6,308,10.7
2024-11-24,brand,10,216,1.4
2024-11-24,non_brand,7,396,15.0
2024-11-25,brand,8,162,1.4
2024-11-25,non_brand,5,297,12.5
2024-11-26,brand,7,144,1.4
2024-11-26,non_brand,5,264,9.2
2024-11-27,brand,9,180,1.5
2024-11-27,non_brand,6,330,10.1
2024-11-28,brand,11,228,1.3
2024-11-28,non_brand,8,418,13.6
2024-11-29,brand,9,192,1.5
2024-11-29,non_brand,7,352,10.5
2024-11-30,brand,11,234,1.3
2024-11-30,non_brand,8,429,9.7
2024-12-01,brand,10,210,1.2
2024-12-01,non_brand,7,385,13.3
2024-12-02,brand,8,168,1.1
2024-12-02,non_brand,6,308,11.9
2024-12-03,brand,12,240,1.2
2024-12-03,non_brand,8,440,15.3
2024-12-04,brand,8,162,1.3
2024-12-04,non_brand,5,297,11.4
2024-12-05,brand,8,174,1.1
2024-12-05,non_brand,6,319,12.3
2024-12-06,brand,12,240,1.3
2024-12-06,non_brand,8,440,8.2
2024-12-07,brand,10,210,1.5
2024-12-07,non_brand,7,385,10.6
2024-12-08,brand,9,192,1.6
2024-12-08,non_brand,7,352,11.8
2024-12-09,brand,11,222,1.5
2024-12-09,non_brand,8,407,14.5
2024-12-10,brand,8,174,1.5
2024-12-10,non_brand,6,319,15.8
2024-12-11,brand,9,192,1.5
2024-12-11,non_brand,7,352,11.8
2024-12-12,brand,8,168,1.2
2024-12-12,non_brand,6,308,14.3
2024-12-13,brand,11,228,1.2
2024-12-13,non_brand,8,418,14.4
2024-12-14,brand,9,198,1.4
2024-12-14,non_brand,7,363,9.2
2024-12-15,brand,13,270,1.3
2024-12-15,non_brand,9,495,9.8
2024-12-16,brand,10,204,1.3
2024-12-16,non_brand,7,374,13.3
2024-12-17,brand,9,186,1.4
2024-12-17,non_brand,6,341,9.6
2024-12-18,brand,12,240,1.4
2024-12-18,non_brand,8,440,13.5
2024-12-19,brand,12,252,1.1
2024-12-19,non_brand,9,462,10.6
2024-12-20,brand,12,252,1.2
2024-12-20,non_brand,9,462,10.4
2024-12-21,brand,11,228,1.6
2024-12-21,non_brand,8,418,14.5
2024-12-22,brand,9,198,1.2
2024-12-22,non_brand,7,363,11.9
2024-12-23,brand,9,186,1.1
2024-12-23,non_brand,6,341,10.4
2024-12-24,brand,10,210,1.5
2024-12-24,non_brand,7,385,14.4
2024-12-25,brand,12,240,1.3
2024-12-25,non_brand,8,440,15.2
2024-12-26,brand,10,216,1.6
2024-12-26,non_brand,7,396,9.7
2024-12-27,brand,13,270,1.5
2024-12-27,non_brand,9,495,11.8
2024-12-28,brand,8,162,1.4
2024-12-28,non_brand,5,297,15.2
2024-12-29,brand,8,174,1.4
2024-12-29,non_brand,6,319,15.1
2024-12-30,brand,9,198,1.4
2024-12-30,non_brand,7,363,11.8
2024-12-31,brand,8,162,1.4
2024-12-31,non_brand,5,297,13.2
2025-01-01,brand,11,234,1.3
2025-01-01,non_brand,8,429,13.0
2025-01-02,brand,13,264,1.6
2025-01-02,non_brand,9,484,10.5
2025-01-03,brand,12,240,1.5
2025-01-03,non_brand,8,440,8.8
2025-01-04,brand,11,222,1.5
2025-01-04,non_brand,8,407,10.6
2025-01-05,brand,12,246,1.2
2025-01-05,non_brand,9,451,9.9
2025-01-06,brand,8,168,1.4
2025-01-06,non_brand,6,308,10.5
2025-01-07,brand,9,198,1.2
2025-01-07,non_brand,7,363,8.3
2025-01-08,brand,13,264,1.6
2025-01-08,non_brand,9,484,14.4
2025-01-09,brand,11,222,1.3
2025-01-09,non_brand,8,407,9.6
2025-01-10,brand,10,210,1.2
2025-01-10,non_brand,7,385,10.3
2025-01-11,brand,11,228,1.5
2025-01-11,non_brand,8,418,15.1
2025-01-12,brand,9,198,1.2
2025-01-12,non_brand,7,363,15.9
2025-01-13,brand,10,204,1.3
2025-01-13,non_brand,7,374,8.4
2025-01-14,brand,9,186,1.3
2025-01-14,non_brand,6,341,14.4
2025-01-15,brand,12,258,1.4
2025-01-15,non_brand,9,473,8.6
2025-01-16,brand,7,156,1.1
2025-01-16,non_brand,5,286,8.6
2025-01-17,brand,8,162,1.5
2025-01-17,non_brand,5,297,9.2
2025-01-18,brand,10,210,1.4
2025-01-18,non_brand,7,385,14.1
2025-01-19,brand,10,204,1.3
2025-01-19,non_brand,7,374,12.8
2025-01-20,brand,9,186,1.4
2025-01-20,non_brand,6,341,15.7
2025-01-21,brand,10,204,1.4
2025-01-21,non_brand,7,374,15.8
2025-01-22,brand,10,210,1.4
2025-01-22,non_brand,7,385,14.3
2025-01-23,brand,12,240,1.1
2025-01-23,non_brand,8,440,12.9
2025-01-24,brand,11,234,1.6
2025-01-24,non_brand,8,429,14.5
2025-01-25,brand,12,246,1.4
2025-01-25,non_brand,9,451,11.4
2025-01-26,brand,8,162,1.5
2025-01-26,non_brand,5,297,10.0
2025-01-27,brand,12,240,1.5
2025-01-27,non_brand,8,440,13.2
2025-01-28,brand,9,180,1.3
2025-01-28,non_brand,6,330,8.9
2025-01-29,brand,10,204,1.4
2025-01-29,non_brand,7,374,11.1
2025-01-30,brand,9,180,1.4
2025-01-30,non_brand,6,330,9.4
2025-01-31,brand,8,168,1.4
2025-01-31,non_brand,6,308,12.4
2025-02-01,brand,10,216,1.2
2025-02-01,non_brand,7,396,10.6
2025-02-02,brand,9,192,1.3
2025-02-02,non_brand,7,352,14.0
2025-02-03,brand,9,186,1.3
2025-02-03,non_brand,6,341,14.5
2025-02-04,brand,9,180,1.3
2025-02-04,non_brand,6,330,11.6
2025-02-05,brand,11,228,1.2
2025-02-05,non_brand,8,418,12.7
2025-02-06,brand,9,180,1.5
2025-02-06,non_brand,6,330,12.4
2025-02-07,brand,7,156,1.4
2025-02-07,non_brand,5,286,14.0
2025-02-08,brand,9,186,1.2
2025-02-08,non_brand,6,341,11.7
2025-02-09,brand,10,210,1.5
2025-02-09,non_brand,7,385,10.6
2025-02-10,brand,10,210,1.2
2025-02-10,non_brand,7,385,9.7
2025-02-11,brand,8,174,1.4
2025-02-11,non_brand,6,319,10.8
2025-02-12,brand,11,234,1.2
2025-02-12,non_brand,8,429,10.1
2025-02-13,brand,9,198,1.4
2025-02-13,non_brand,7,363,9.1
2025-02-14,brand,11,234,1.4
2025-02-14,non_brand,8,429,12.6
2025-02-15,brand,10,204,1.2
2025-02-15,non_brand,7,374,15.3
2025-02-16,brand,7,144,1.2
2025-02-16,non_brand,5,264,13.7
2025-02-17,brand,10,204,1.4
2025-02-17,non_brand,7,374,8.8
2025-02-18,brand,7,156,1.1
2025-02-18,non_brand,5,286,11.4
2025-02-19,brand,12,246,1.6
2025-02-19,non_brand,9,451,9.9
2025-02-20,brand,9,180,1.1
2025-02-20,non_brand,6,330,10.2
2025-02-21,brand,9,198,1.5
2025-02-21,non_brand,7,363,9.8
2025-02-22,brand,9,180,1.5
2025-02-22,non_brand,6,330,8.8
2025-02-23,brand,10,216,1.6
2025-02-23,non_brand,7,396,10.3
2025-02-24,brand,10,210,1.4
2025-02-24,non_brand,7,385,10.1
2025-02-25,brand,7,144,1.3
2025-02-25,non_brand,5,264,14.3
2025-02-26,brand,12,240,1.3
2025-02-26,non_brand,8,440,14.6
2025-02-27,brand,10,210,1.4
2025-02-27,non_brand,7,385,10.5
2025-02-28,brand,9,192,1.2
2025-02-28,non_brand,7,352,15.4
2025-03-01,brand,6,126,1.6
2025-03-01,non_brand,4,231,12.7
2025-03-02,brand,8,162,1.4
2025-03-02,non_brand,5,297,10.0
2025-03-03,brand,9,198,1.2
2025-03-03,non_brand,7,363,10.6
2025-03-04,brand,8,174,1.3
2025-03-04,non_brand,6,319,8.6
2025-03-05,brand,10,204,1.2
2025-03-05,non_brand,7,374,14.4
2025-03-06,brand,9,192,1.2
2025-03-06,non_brand,7,352,8.2
2025-03-07,brand,8,168,1.4
2025-03-07,non_brand,6,308,8.6
2025-03-08,brand,7,144,1.3
2025-03-08,non_brand,5,264,13.4
2025-03-09,brand,9,198,1.3
2025-03-09,non_brand,7,363,11.1
2025-03-10,brand,7,150,1.4
2025-03-10,non_brand,5,275,9.0
2025-03-11,brand,10,204,1.1
2025-03-11,non_brand,7,374,10.6
2025-03-12,brand,10,204,1.6
2025-03-12,non_brand,7,374,13.5
2025-03-13,brand,6,132,1.5
2025-03-13,non_brand,4,242,11.3
2025-03-14,brand,7,150,1.2
2025-03-14,non_brand,5,275,8.9
2025-03-15,brand,6,126,1.5
2025-03-15,non_brand,4,231,14.4
2025-03-16,brand,9,180,1.2
2025-03-16,non_brand,6,330,13.4
2025-03-17,brand,8,168,1.4
2025-03-17,non_brand,6,308,13.8
2025-03-18,brand,9,192,1.6
2025-03-18,non_brand,7,352,15.8
2025-03-19,brand,7,144,1.3
2025-03-19,non_brand,5,264,14.8
2025-03-20,brand,9,192,1.1
2025-03-20,non_brand,7,352,14.2
2025-03-21,brand,8,162,1.2
2025-03-21,non_brand,5,297,15.8
2025-03-22,brand,8,174,1.2
2025-03-22,non_brand,6,319,15.1
2025-03-23,brand,10,204,1.6
2025-03-23,non_brand,7,374,13.4
2025-03-24,brand,8,168,1.1
2025-03-24,non_brand,6,308,15.0
2025-03-25,brand,9,192,1.1
2025-03-25,non_brand,7,352,10.6
2025-03-26,brand,6,126,1.5
2025-03-26,non_brand,4,231,15.0
2025-03-27,brand,9,192,1.3
2025-03-27,non_brand,7,352,9.3
2025-03-28,brand,10,204,1.2
2025-03-28,non_brand,7,374,14.7
2025-03-29,brand,10,204,1.2
2025-03-29,non_brand,7,374,15.9
2025-03-30,brand,7,150,1.5
2025-03-30,non_brand,5,275,8.9
2025-03-31,brand,7,156,1.5
2025-03-31,non_brand,5,286,10.0
2025-04-01,brand,8,174,1.2
2025-04-01,non_brand,6,319,12.1
2025-04-02,brand,5,108,1.5
2025-04-02,non_brand,3,198,8.4
2025-04-03,brand,5,108,1.3
2025-04-03,non_brand,3,198,8.1
2025-04-04,brand,7,144,1.5
2025-04-04,non_brand,5,264,15.2
2025-04-05,brand,6,132,1.4
2025-04-05,non_brand,4,242,13.3
2025-04-06,brand,7,156,1.1
2025-04-06,non_brand,5,286,13.3
2025-04-07,brand,7,144,1.2
2025-04-07,non_brand,5,264,11.5
2025-04-08,brand,6,132,1.2
2025-04-08,non_brand,4,242,13.6
2025-04-09,brand,8,168,1.3
2025-04-09,non_brand,6,308,10.4
2025-04-10,brand,8,162,1.3
2025-04-10,non_brand,5,297,15.6
2025-04-11,brand,5,108,1.4
2025-04-11,non_brand,3,198,10.7
2025-04-12,brand,6,120,1.3
2025-04-12,non_brand,4,220,15.3
2025-04-13,brand,5,114,1.5
2025-04-13,non_brand,4,209,15.8
2025-04-14,brand,8,168,1.3
2025-04-14,non_brand,6,308,12.9
2025-04-15,brand,6,120,1.1
2025-04-15,non_brand,4,220,8.0
2025-04-16,brand,8,162,1.5
2025-04-16,non_brand,5,297,8.7
2025-04-17,brand,8,168,1.5
2025-04-17,non_brand,6,308,10.6
2025-04-18,brand,5,114,1.3
2025-04-18,non_brand,4,209,9.2
2025-04-19,brand,8,168,1.1
2025-04-19,non_brand,6,308,14.7
2025-04-20,brand,5,108,1.6
2025-04-20,non_brand,3,198,9.3
2025-04-21,brand,6,126,1.6
2025-04-21,non_brand,4,231,8.2
2025-04-22,brand,8,174,1.6
2025-04-22,non_brand,6,319,14.9
2025-04-23,brand,6,138,1.3
2025-04-23,non_brand,5,253,9.2
2025-04-24,brand,8,174,1.3
2025-04-24,non_brand,6,319,14.4
2025-04-25,brand,6,126,1.3
2025-04-25,non_brand,4,231,8.1
2025-04-26,brand,7,144,1.4
2025-04-26,non_brand,5,264,8.8
2025-04-27,brand,7,144,1.1
2025-04-27,non_brand,5,264,13.8
2025-04-28,brand,7,150,1.5
2025-04-28,non_brand,5,275,15.9
2025-04-29,brand,6,132,1.5
2025-04-29,non_brand,4,242,11.2
2025-04-30,brand,7,156,1.1
2025-04-30,non_brand,5,286,11.6
2025-05-01,brand,7,144,1.3
2025-05-01,non_brand,5,264,12.8
2025-05-02,brand,6,132,1.1
2025-05-02,non_brand,4,242,11.5
2025-05-03,brand,6,126,1.3
2025-05-03,non_brand,4,231,15.0
2025-05-04,brand,7,144,1.6
2025-05-04,non_brand,5,264,15.5
2025-05-05,brand,5,108,1.3
2025-05-05,non_brand,3,198,12.1
2025-05-06,brand,5,108,1.2
2025-05-06,non_brand,3,198,15.4
2025-05-07,brand,5,114,1.2
2025-05-07,non_brand,4,209,12.7
2025-05-08,brand,7,144,1.1
2025-05-08,non_brand,5,264,11.9
2025-05-09,brand,6,120,1.5
2025-05-09,non_brand,4,220,13.9
2025-05-10,brand,6,120,1.4
2025-05-10,non_brand,4,220,13.4
2025-05-11,brand,7,150,1.1
2025-05-11,non_brand,5,275,10.8
2025-05-12,brand,5,108,1.5
2025-05-12,non_brand,3,198,13.3
2025-05-13,brand,7,150,1.1
2025-05-13,non_brand,5,275,12.1
2025-05-14,brand,7,144,1.3
2025-05-14,non_brand,5,264,14.8
2025-05-15,brand,6,126,1.4
2025-05-15,non_brand,4,231,10.6
2025-05-16,brand,6,132,1.2
2025-05-16,non_brand,4,242,11.0
2025-05-17,brand,6,132,1.3
2025-05-17,non_brand,4,242,11.1
2025-05-18,brand,6,138,1.6
2025-05-18,non_brand,5,253,8.3
2025-05-19,brand,6,138,1.3
2025-05-19,non_brand,5,253,15.9
2025-05-20,brand,4,96,1.5
2025-05-20,non_brand,3,176,9.9
2025-05-21,brand,6,126,1.2
2025-05-21,non_brand,4,231,9.9
2025-05-22,brand,6,132,1.1
2025-05-22,non_brand,4,242,13.5
2025-05-23,brand,6,120,1.3
2025-05-23,non_brand,4,220,8.8
2025-05-24,brand,4,96,1.4
2025-05-24,non_brand,3,176,15.4
2025-05-25,brand,4,96,1.5
2025-05-25,non_brand,3,176,13.2
2025-05-26,brand,5,114,1.1
2025-05-26,non_brand,4,209,15.5
2025-05-27,brand,5,102,1.6
2025-05-27,non_brand,3,187,10.2
2025-05-28,brand,5,108,1.2
2025-05-28,non_brand,3,198,13.0
2025-05-29,brand,5,108,1.6
2025-05-29,non_brand,3,198,14.1
2025-05-30,brand,6,120,1.5
2025-05-30,non_brand,4,220,9.6
2025-05-31,brand,6,138,1.4
2025-05-31,non_brand,5,253,8.1
2025-06-01,brand,3,72,1.3
2025-06-01,non_brand,2,132,9.5
2025-06-02,brand,3,72,1.3
2025-06-02,non_brand,2,132,8.4
2025-06-03,brand,3,66,1.2
2025-06-03,non_brand,2,121,10.8
2025-06-04,brand,4,84,1.4
2025-06-04,non_brand,3,154,10.2
2025-06-05,brand,4,84,1.5
2025-06-05,non_brand,3,154,8.5
2025-06-06,brand,3,72,1.1
2025-06-06,non_brand,2,132,10.9
2025-06-07,brand,4,84,1.3
2025-06-07,non_brand,3,154,12.8
2025-06-08,brand,3,78,1.2
2025-06-08,non_brand,2,143,15.6
2025-06-09,brand,3,78,1.2
2025-06-09,non_brand,2,143,11.0
2025-06-10,brand,3,78,1.4
2025-06-10,non_brand,2,143,8.8
2025-06-11,brand,4,84,1.5
2025-06-11,non_brand,3,154,14.8
2025-06-12,brand,3,66,1.1
2025-06-12,non_brand,2,121,12.7
2025-06-13,brand,3,72,1.1
2025-06-13,non_brand,2,132,15.5
2025-06-14,brand,4,90,1.3
2025-06-14,non_brand,3,165,12.7
2025-06-15,brand,4,84,1.4
2025-06-15,non_brand,3,154,12.9
2025-06-16,brand,3,66,1.4
2025-06-16,non_brand,2,121,10.6
2025-06-17,brand,3,78,1.3
2025-06-17,non_brand,2,143,15.1
2025-06-18,brand,3,72,1.2
2025-06-18,non_brand,2,132,9.3
2025-06-19,brand,3,78,1.5
2025-06-19,non_brand,2,143,11.0
2025-06-20,brand,4,90,1.4
2025-06-20,non_brand,3,165,15.1
2025-06-21,brand,3,72,1.3
2025-06-21,non_brand,2,132,8.6
2025-06-22,brand,4,96,1.5
2025-06-22,non_brand,3,176,13.7
2025-06-23,brand,4,96,1.6
2025-06-23,non_brand,3,176,10.9
2025-06-24,brand,4,96,1.4
2025-06-24,non_brand,3,176,13.9
2025-06-25,brand,4,84,1.4
2025-06-25,non_brand,3,154,12.0
2025-06-26,brand,4,96,1.4
2025-06-26,non_brand,3,176,10.0
2025-06-27,brand,3,72,1.3
2025-06-27,non_brand,2,132,8.1
2025-06-28,brand,3,66,1.2
2025-06-28,non_brand,2,121,11.9
2025-06-29,brand,3,78,1.5
2025-06-29,non_brand,2,143,15.8
2025-06-30,brand,3,72,1.1
2025-06-30,non_brand,2,132,15.1
2025-07-01,brand,3,60,1.5
2025-07-01,non_brand,2,110,14.2
2025-07-02,brand,3,66,1.2
2025-07-02,non_brand,2,121,11.3
2025-07-03,brand,3,66,1.1
2025-07-03,non_brand,2,121,12.7
2025-07-04,brand,4,84,1.2
2025-07-04,non_brand,3,154,15.9
2025-07-05,brand,4,84,1.6
2025-07-05,non_brand,3,154,14.1
2025-07-06,brand,4,84,1.2
2025-07-06,non_brand,3,154,13.4
2025-07-07,brand,4,84,1.3
2025-07-07,non_brand,3,154,12.3
2025-07-08,brand,3,66,1.4
2025-07-08,non_brand,2,121,14.0
2025-07-09,brand,4,90,1.1
2025-07-09,non_brand,3,165,12.4
2025-07-10,brand,3,78,1.3
2025-07-10,non_brand,2,143,10.8
2025-07-11,brand,3,66,1.5
2025-07-11,non_brand,2,121,8.2
2025-07-12,brand,4,84,1.3
2025-07-12,non_brand,3,154,9.0
2025-07-13,brand,3,78,1.5
2025-07-13,non_brand,2,143,12.1
2025-07-14,brand,3,72,1.2
2025-07-14,non_brand,2,132,11.6
2025-07-15,brand,3,72,1.4
2025-07-15,non_brand,2,132,9.8
2025-07-16,brand,4,84,1.1
2025-07-16,non_brand,3,154,13.2
2025-07-17,brand,3,60,1.5
2025-07-17,non_brand,2,110,8.6
2025-07-18,brand,3,66,1.5
2025-07-18,non_brand,2,121,9.1
2025-07-19,brand,4,90,1.2
2025-07-19,non_brand,3,165,13.8
2025-07-20,brand,4,84,1.6
2025-07-20,non_brand,3,154,14.8
2025-07-21,brand,3,72,1.5
2025-07-21,non_brand,2,132,13.0
2025-07-22,brand,3,72,1.2
2025-07-22,non_brand,2,132,15.9
2025-07-23,brand,3,72,1.5
2025-07-23,non_brand,2,132,12.6
2025-07-24,brand,3,72,1.5
2025-07-24,non_brand,2,132,9.3
2025-07-25,brand,3,78,1.5
2025-07-25,non_brand,2,143,12.3
2025-07-26,brand,3,78,1.5
2025-07-26,non_brand,2,143,14.7
2025-07-27,brand,4,84,1.2
2025-07-27,non_brand,3,154,15.5
2025-07-28,brand,3,72,1.5
2025-07-28,non_brand,2,132,10.7
2025-07-29,brand,3,78,1.5
2025-07-29,non_brand,2,143,14.0
2025-07-30,brand,4,84,1.2
2025-07-30,non_brand,3,154,13.9
2025-07-31,brand,3,78,1.3
2025-07-31,non_brand,2,143,8.0
2025-08-01,brand,3,66,1.4
2025-08-01,non_brand,2,121,14.3
2025-08-02,brand,4,90,1.2
2025-08-02,non_brand,3,165,15.7
2025-08-03,brand,4,90,1.3
2025-08-03,non_brand,3,165,10.7
2025-08-04,brand,4,84,1.1
2025-08-04,non_brand,3,154,15.2
2025-08-05,brand,4,90,1.3
2025-08-05,non_brand,3,165,9.7
2025-08-06,brand,5,102,1.5
2025-08-06,non_brand,3,187,15.4
2025-08-07,brand,3,72,1.5
2025-08-07,non_brand,2,132,15.8
2025-08-08,brand,3,78,1.3
2025-08-08,non_brand,2,143,13.3
2025-08-09,brand,5,108,1.4
2025-08-09,non_brand,3,198,12.6
2025-08-10,brand,4,90,1.2
2025-08-10,non_brand,3,165,10.6
2025-08-11,brand,3,78,1.5
2025-08-11,non_brand,2,143,11.9
2025-08-12,brand,4,90,1.4
2025-08-12,non_brand,3,165,15.0
2025-08-13,brand,3,72,1.3
2025-08-13,non_brand,2,132,10.0
2025-08-14,brand,3,78,1.1
2025-08-14,non_brand,2,143,10.7
2025-08-15,brand,4,84,1.3
2025-08-15,non_brand,3,154,16.0
2025-08-16,brand,4,84,1.1
2025-08-16,non_brand,3,154,9.2
2025-08-17,brand,4,90,1.1
2025-08-17,non_brand,3,165,13.5
2025-08-18,brand,3,72,1.5
2025-08-18,non_brand,2,132,11.4
2025-08-19,brand,4,96,1.5
2025-08-19,non_brand,3,176,8.8
2025-08-20,brand,5,108,1.4
2025-08-20,non_brand,3,198,11.3
2025-08-21,brand,5,102,1.5
2025-08-21,non_brand,3,187,11.1
2025-08-22,brand,5,102,1.5
2025-08-22,non_brand,3,187,12.6
2025-08-23,brand,4,90,1.5
2025-08-23,non_brand,3,165,14.7
2025-08-24,brand,5,102,1.3
2025-08-24,non_brand,3,187,12.5
2025-08-25,brand,4,90,1.4
2025-08-25,non_brand,3,165,9.6
2025-08-26,brand,5,102,1.3
2025-08-26,non_brand,3,187,12.7
2025-08-27,brand,5,108,1.5
2025-08-27,non_brand,3,198,11.4
2025-08-28,brand,4,96,1.3
2025-08-28,non_brand,3,176,13.7
2025-08-29,brand,4,90,1.2
2025-08-29,non_brand,3,165,15.8
2025-08-30,brand,4,96,1.1
2025-08-30,non_brand,3,176,12.1
2025-08-31,brand,4,84,1.5
2025-08-31,non_brand,3,154,8.4
2025-09-01,brand,4,90,1.3
2025-09-01,non_brand,3,165,9.8
2025-09-02,brand,6,120,1.3
2025-09-02,non_brand,4,220,8.4
2025-09-03,brand,6,126,1.5
2025-09-03,non_brand,4,231,11.8
2025-09-04,brand,6,120,1.5
2025-09-04,non_brand,4,220,8.3
2025-09-05,brand,4,90,1.5
2025-09-05,non_brand,3,165,15.5
2025-09-06,brand,4,96,1.4
2025-09-06,non_brand,3,176,8.4
2025-09-07,brand,4,84,1.4
2025-09-07,non_brand,3,154,13.3
2025-09-08,brand,5,108,1.3
2025-09-08,non_brand,3,198,12.2
2025-09-09,brand,4,84,1.5
2025-09-09,non_brand,3,154,14.1
2025-09-10,brand,5,114,1.3
2025-09-10,non_brand,4,209,13.4
2025-09-11,brand,4,96,1.3
2025-09-11,non_brand,3,176,12.3
2025-09-12,brand,4,84,1.3
2025-09-12,non_brand,3,154,9.5
2025-09-13,brand,5,102,1.4
2025-09-13,non_brand,3,187,10.3
2025-09-14,brand,6,132,1.4
2025-09-14,non_brand,4,242,14.0
2025-09-15,brand,5,102,1.4
2025-09-15,non_brand,3,187,13.8
2025-09-16,brand,4,84,1.5
2025-09-16,non_brand,3,154,13.8
2025-09-17,brand,4,90,1.5
2025-09-17,non_brand,3,165,12.5
2025-09-18,brand,5,108,1.1
2025-09-18,non_brand,3,198,13.5
2025-09-19,brand,6,126,1.3
2025-09-19,non_brand,4,231,9.3
2025-09-20,brand,4,96,1.4
2025-09-20,non_brand,3,176,15.2
2025-09-21,brand,4,84,1.2
2025-09-21,non_brand,3,154,12.2
2025-09-22,brand,6,126,1.3
2025-09-22,non_brand,4,231,11.9
2025-09-23,brand,5,114,1.4
2025-09-23,non_brand,4,209,15.7
2025-09-24,brand,6,126,1.3
2025-09-24,non_brand,4,231,8.5
2025-09-25,brand,6,126,1.2
2025-09-25,non_brand,4,231,15.5
2025-09-26,brand,6,126,1.4
2025-09-26,non_brand,4,231,14.2
2025-09-27,brand,5,108,1.5
2025-09-27,non_brand,3,198,14.9
2025-09-28,brand,5,102,1.5
2025-09-28,non_brand,3,187,12.4
2025-09-29,brand,5,108,1.3
2025-09-29,non_brand,3,198,12.0
2025-09-30,brand,5,114,1.2
2025-09-30,non_brand,4,209,14.8
2025-10-01,brand,11,216,1.4
2025-10-01,non_brand,12,360,6.1
2025-10-02,brand,15,282,1.4
2025-10-02,non_brand,15,470,9.5
